3162991::艺术的故事::[英] 贡布里希 (Sir E.H.Gombrich)::广西美术出版社::280.00::https://img3.doubanio.com/lpic/s3219163.jpg::艺术|艺术史|贡布里希|艺术的故事|历史|文化|经典|美术学
1007305::红楼梦::[清] 曹雪芹 著,高鹗 续::人民文学出版社::59.70元::https://img1.doubanio.com/lpic/s1070959.jpg::红楼梦|古典文学|曹雪芹|经典|古典名著|小说|中国|名著
1032501::心理学与生活::[美] 理查德·格里格,菲利普·津巴多::人民邮电出版社::88.00元::https://img3.doubanio.com/lpic/s1068520.jpg::心理学|心理学与生活|心理|经典|教材|普通心理学|科普|psychology
1084336::小王子::[法] 圣埃克苏佩里::人民文学出版社::22.00元::https://img1.doubanio.com/lpic/s1237549.jpg::小王子|童话|圣埃克苏佩里|法国|经典|外国文学|哲学|小说
1795079::乡土中国::费孝通::上海人民出版社::38.00::https://img3.doubanio.com/lpic/s1665415.jpg::社会学|费孝通|乡土中国|社会学　中国农村|社会|中国社会|文化|中国
1003479::中国历代政治得失::钱穆::生活·读书·新知三联书店::12.00元::https://img3.doubanio.com/lpic/s1319205.jpg::历史|钱穆|政治|中国历史|中国历代政治得失|中国|经典|国学
1046492::國史大綱（上下）::錢穆::商務印書館::76.00元::https://img3.doubanio.com/lpic/s23922774.jpg::历史|钱穆|国史大纲|中国历史|国学|经典|中国史|中国
1028842::经济学原理（上下）::[美] 曼昆::机械工业出版社::88.00元::https://img3.doubanio.com/lpic/s1785715.jpg::经济学|曼昆|经济学原理|经济学入门|经济|经典|教材|economics
1829226::肖申克的救赎::[美] 斯蒂芬·金::人民文学出版社::29.90元::https://img3.doubanio.com/lpic/s4007145.jpg::斯蒂芬·金|肖申克的救赎|小说|外国文学|经典|美国|希望|悬疑
5038409::金色梦乡::[日] 伊坂幸太郎::译林出版社::35.00元::https://img3.doubanio.com/lpic/s4444885.jpg::伊坂幸太郎|推理|日本|小说|日本文学|推理小说|日系推理|悬疑
4011670::人间失格::太宰治::吉林出版集团有限责任公司::16.00元::https://img5.doubanio.com/lpic/s6100756.jpg::太宰治|日本文学|日本|人间失格|小说|文学|外国文学|人性
3259440::白夜行::[日] 东野圭吾::南海出版公司::29.80元::https://img3.doubanio.com/lpic/s4610502.jpg::東野圭吾|推理|东野圭吾|日本|悬疑|小说|日本文学|推理小说
1046265::挪威的森林::[日] 村上春树::上海译文出版社::18.80元::https://img3.doubanio.com/lpic/s1228930.jpg::村上春树|挪威的森林|小说|日本文学|日本|爱情|青春|外国文学
4742918::1Q84 BOOK 1::[日] 村上春树::南海出版公司::36.00元::https://img3.doubanio.com/lpic/s4363464.jpg::村上春树|日本|小说|1Q84|日本文学|村上春樹|文学|外国文学
1059419::海边的卡夫卡::[日] 村上春树::上海译文出版社::25.00元::https://img3.doubanio.com/lpic/s1094940.jpg::村上春树|海边的卡夫卡|日本文学|小说|日本|青春|外国文学|文学
3920144::春宵苦短，少女前進吧！::森見登美彥::麥田出版::NTD300元::https://img3.doubanio.com/lpic/s3944410.jpg::森見登美彥|日本|小说|轻小说|日本文学|森见登美彦|青春|森見登美彦
1080370::情书::[日] 岩井俊二::天津人民出版社::18.00元::https://img3.doubanio.com/lpic/s1127135.jpg::岩井俊二|情书|日本|小说|爱情|日本文学|日本小说|电影
1291809::世界尽头与冷酷仙境::[日] 村上春树::上海译文出版社::23.00元::https://img1.doubanio.com/lpic/s1801057.jpg::村上春树|世界尽头与冷酷仙境|日本文学|小说|日本|村上春樹|文学|外国文学
1865089::瓦尔登湖::[美] 梭罗::上海译文出版社::11.00元::https://img1.doubanio.com/lpic/s1999119.jpg::梭罗|瓦尔登湖|外国文学|散文|纯净|随笔|美国|文学
4885241::1Q84 BOOK 2::[日] 村上春树::南海出版公司::36.00元::https://img3.doubanio.com/lpic/s4393610.jpg::村上春树|日本|小说|1Q84|日本文学|外国文学|村上春樹|文学
1039752::且听风吟::[日] 村上春树::上海译文出版社::11.80元::https://img1.doubanio.com/lpic/s1029019.jpg::村上春树|且听风吟|日本文学|小说|日本|青春|外国文学|文学
1015452::国境以南 太阳以西::[日] 村上春树::上海译文出版社::13.50元::https://img3.doubanio.com/lpic/s2333463.jpg::村上春树|小说|日本|日本文学|国境以南|太阳以西|文学|外国文学
6126821::远方的鼓声::[日] 村上春树::上海译文出版社::32.00元::https://img1.doubanio.com/lpic/s6937198.jpg::村上春树|随笔|旅行|游记|日本|日本文学|旅游文学|远方的鼓声
1212080::奇鸟行状录::[日] 村上春树::上海译文出版社::30.00元::https://img1.doubanio.com/lpic/s1231309.jpg::村上春树|小说|奇鸟行状录|日本|日本文学|村上春樹|文学|外国文学
5502995::1Q84 BOOK 3::[日] 村上春树::南海出版公司::39.50元::https://img5.doubanio.com/lpic/s4577386.jpg::村上春树|日本|小说|日本文学|1Q84|爱情|文学|外国文学
1020670::舞！舞！舞！::[日] 村上春树::上海译文出版社::25.00元::https://img3.doubanio.com/lpic/s1231290.jpg::村上春树|舞!舞!舞!|小说|日本文学|日本|外国文学|文学|村上春樹
1848256::东京奇谭集::[日] 村上春树::上海译文出版社::13.00元::https://img1.doubanio.com/lpic/s1738888.jpg::村上春树|日本|小说|日本文学|东京奇谭集|短篇|文学|外国文学
2333837::雨天炎天::[日]村上春树::上海译文出版社::15.00元::https://img3.doubanio.com/lpic/s2789872.jpg::村上春树|游记|日本|旅行|日本文学|随笔|雨天炎天|土耳其
1031740::寻羊冒险记::[日] 村上春树::上海译文出版社::18.80元::https://img3.doubanio.com/lpic/s1148083.jpg::村上春树|小说|寻羊冒险记|日本|日本文学|外国文学|村上春樹|文学
3155160::村上春樹心底的中國::藤井省三::時報文化::120.00元::https://img3.doubanio.com/lpic/s26384534.jpg::村上春树|藤井省三|村上春樹|日本文学|文学|日本|日本文化文学研究|時報文化
3610681::海子诗全集::海子 著,西川 编::作家出版社::88.00元::https://img3.doubanio.com/lpic/s3670242.jpg::海子|诗歌|诗集|中国文学|诗|现当代文学|文学|中国
3597825::我的孤独是一座花园::[叙利亚] 阿多尼斯::译林出版社::28.00::https://img3.doubanio.com/lpic/s3679561.jpg::诗歌|阿多尼斯|我的孤独是一座花园|外国文学|叙利亚|诗集|诗|阿拉伯
1417385::博尔赫斯诗选::（阿根廷）博尔赫斯::河北教育出版社::19.0::https://img3.doubanio.com/lpic/s2180194.jpg::博尔赫斯|诗歌|阿根廷|诗|外国文学|博尔赫斯诗选|外国诗歌|拉美文学
1045352::二十首情诗与绝望的歌::聂鲁达::中国社会科学出版社::20.00::https://img3.doubanio.com/lpic/s4082180.jpg::聂鲁达|诗歌|爱情|智利|诗|外国文学|外国诗歌|文学
1026036::北岛诗歌集::北岛::南海出版公司::20.00::https://img5.doubanio.com/lpic/s1909326.jpg::北岛|诗歌|现代诗歌|朦胧诗|中国文学|诗|北岛诗歌集|文学
1438816::给青年诗人的信::[奥] 莱内·马利亚·里尔克::上海译文出版社::15.00元::https://img3.doubanio.com/lpic/s1483135.jpg::里尔克|诗歌|书信|给青年诗人的信|外国文学|冯至|德国|文学
1058661::飞鸟集::[印] 罗宾德拉纳德·泰戈尔::哈尔滨出版社::16.80元::https://img3.doubanio.com/lpic/s1044902.jpg::泰戈尔|诗歌|飞鸟集|外国文学|印度|经典|诗集|诗
3297888::云雀叫了一整天::木心::广西师范大学出版社::CNY 30.00::https://img3.doubanio.com/lpic/s3381125.jpg::木心|诗歌|云雀叫了一整天|中国文学|诗|文学|中国|随笔
1351678::夏宇詩集／Salsa::夏宇::現代詩::NT$320::https://img3.doubanio.com/lpic/s3238302.jpg::夏宇|诗歌|詩|台灣|台湾|诗|詩集|我們當下的詩
7050908::雪莱诗选::雪莱::外语教学与研究出版社::18.00元::https://img5.doubanio.com/lpic/s7016246.jpg::雪莱|诗歌|英国文学|外国文学|英国|英汉对照|诗集|雪莱诗集
1119839::王尔德童话::[英] 王尔德::译林出版社::6.00元::https://img5.doubanio.com/lpic/s2019056.jpg::王尔德|童话|王尔德童话|英国|外国文学|英国文学|儿童文学|经典
6857344::夜莺与玫瑰::[英] 王尔德 著,查尔斯·罗宾逊 绘::辽宁教育出版社::34.00元::https://img3.doubanio.com/lpic/s10345525.jpg::奥斯卡·王尔德|童话|林徽因|王尔德|英国文学|外国文学|英国|文学
1007952::蓝熊船长的13条半命::[德] 瓦尔特·莫尔斯::人民文学出版社::39.80元::https://img3.doubanio.com/lpic/s1081342.jpg::童话|蓝熊船长的13条半命|德国|儿童文学|幻想|外国文学|小说|莫尔斯
1433640::猜猜我有多爱你::[英] 山姆·麦克布雷尼 文,安妮塔·婕朗 图::少年儿童出版社::29.80元::https://img1.doubanio.com/lpic/s24549957.jpg::绘本|猜猜我有多爱你|童话|温暖|儿童文学|童书|儿童|童心
1036274::夏洛的网::[美] E.B.怀特::上海译文出版社::17.00元::https://img1.doubanio.com/lpic/s1120437.jpg::童话|夏洛的网|E・B・怀特|儿童文学|外国文学|美国|小说|童心
1907739::当世界年纪还小的时候::[德] 于尔克·舒比格 著,[德] 罗特劳特·苏珊娜·贝尔纳 图::四川少年儿童出版社::28.00元::https://img1.doubanio.com/lpic/s1886517.jpg::童话|当世界年纪还小的时候|绘本|德国|儿童文学|舒比格|温暖|淡淡的绘本~~
1046209::安徒生童话故事集::（丹麦）安徒生::人民文学出版社::25.00::https://img3.doubanio.com/lpic/s1034062.jpg::童话|安徒生|外国文学|经典|儿童文学|安徒生童话|安徒生童话故事集|名著
1982200::爱德华的奇妙之旅::[美] 凯特·迪卡米洛,[美]马格拉姆·伊巴图林/绘::新蕾出版社::15.00元::https://img3.doubanio.com/lpic/s24973480.jpg::爱德华的奇妙之旅|童话|儿童文学|外国文学|绘本|美国|很感动人|小说
1041128::天蓝色的彼岸::（英）希尔::新世界出版社::19.80元::https://img1.doubanio.com/lpic/s2414747.jpg::天蓝色的彼岸|童话|死亡|外国文学|儿童文学|感动|小说|英国
3608208::牧羊少年奇幻之旅::[巴西]保罗·柯艾略::南海出版公司::25.00元::https://img1.doubanio.com/lpic/s3668327.jpg::牧羊少年奇幻之旅|保罗柯艾略|外国文学|小说|与心沟通|巴西|童话|拉美
3608235::失物之书::[爱尔兰] 约翰·康诺利::人民文学出版社::29.90::https://img3.doubanio.com/lpic/s3668145.jpg::爱尔兰|约翰·康诺利|成人童话|失物之书|小说|外国文学|童话|文学
1855231::银河铁道之夜::(日)宫泽贤治::青岛出版社::19.80::https://img1.doubanio.com/lpic/s1785279.jpg::宫泽贤治|童话|日本|日本文学|银河铁道之夜|儿童文学|小说|经典
1043008::格林童话全集::格林兄弟::人民文学出版社::21.45元::https://img3.doubanio.com/lpic/s1134341.jpg::童话|格林童话|外国文学|经典|童年|德国|格林兄弟|名著
4049269::狐狸的窗户::(日)安房直子 文,(日)织茂恭子 绘::二十一世纪出版社::21.80元::https://img3.doubanio.com/lpic/s4118483.jpg::安房直子|童话|日本|狐狸的窗户|儿童文学|绘本|日本文学|童。真。
5993314::安吉拉·卡特的精怪故事集::[英] 安吉拉·卡特::南京大学出版社::48.00元::https://img1.doubanio.com/lpic/s6870889.jpg::安吉拉·卡特|幻想|英国|外国文学|童话|小说|短篇小说集|英国文学
1001136::彼得·潘::[英] 詹姆斯·巴里,孙国双 图::哈尔滨出版社::13.80元::https://img3.doubanio.com/lpic/s1000715.jpg::彼得・潘|童话|儿童文学|英国|外国文学|成长|经典|童年
6735972::兔子什么都知道::夏正正,Q歪歪::吉林出版集团有限责任公司::36.80元::https://img3.doubanio.com/lpic/s6787911.jpg::治愈系|童话|夏正正|绘本|童话绘本|生活|read-like-children|Q歪歪
1982096::关于来洛尼亚王国的十三个童话故事::[波兰] 莱·柯拉柯夫斯基::生活·读书·新知三联书店::16.00元::https://img1.doubanio.com/lpic/s2148947.jpg::童话|波兰|关于来洛尼亚王国的十三个童话故事|哲学|寓言|外国文学|小说|三联
1461652::纳尼亚传奇：狮子、女巫和魔衣柜::[英] C. S. 刘易斯 著,[英] 保利娜·贝恩斯 插图::译林出版社::14.00元::https://img1.doubanio.com/lpic/s1556987.jpg::纳尼亚传奇|奇幻|儿童文学|童话|英国|魔幻|刘易斯|小说
1152495::白鹦鹉的森林::安房直子::少年儿童出版社::17.00元::https://img1.doubanio.com/lpic/s26164459.jpg::安房直子|童话|日本|儿童文学|日本文学|白鹦鹉的森林|童话，唯美，平静|童书
1153634::童话仙境旅游公司/李志伟童话·长篇酷::李志伟::中国少年儿童出版社::15.0::https://img3.doubanio.com/lpic/s9867704.jpg::李志伟|童话|儿童文学|童年|《儿童文学》|奇幻|文学|小说
